583,Bát Tràng,2,18
586,Kim Lan,2,18
589,Văn Đức,2,18
592,Cầu Diễn,1,19
622,Xuân Phương,1,19
623,Phương Canh,1,19
625,Mỹ Đình 1,1,19
626,Mỹ Đình 2,1,19
628,Tây Mỗ,1,19
631,Mễ Trì,1,19
632,Phúc Diễn,1,21
634,Phúc Diễn,1,21
637,Phúc Diễn,1,21
640,Phúc Diễn,1,21
643,Phúc Diễn,1,21
646,Phúc Diễn,1,21
649,Phúc Diễn,1,21
652,Phúc Diễn,1,21
655,Phúc Diễn,1,21
658,Phúc Diễn,1,21
661,Phúc Diễn,1,21
664,Phúc Diễn,1,21
667,Phúc Diễn,1,21
670,Phúc Diễn,1,21
673,Phúc Diễn,1,21
676,Phúc Diễn,1,21
679,Phúc Diễn,1,21
682,Phúc Diễn,1,21
685,Phúc Diễn,1,21
595,Cầu Diễn,1,19
598,Cầu Diễn,1,19
601,Cầu Diễn,1,19
602,Cầu Diễn,1,19
604,Cầu Diễn,1,19
607,Cầu Diễn,1,19
610,Cầu Diễn,1,19
611,Cầu Diễn,1,19
613,Cầu Diễn,1,19
616,Cầu Diễn,1,19
617,Cầu Diễn,1,19
619,Cầu Diễn,1,19
620,Cầu Diễn,1,19
8973,Phú Xuân,2,249
8974,Phú Xuân,2,249
8977,Phú Xuân,2,249
8980,Phú Xuân,2,249
8983,Phú Xuân,2,249
8986,Phú Xuân,2,249
8989,Phú Xuân,2,249
8992,Phú Xuân,2,249
8995,Phú Xuân,2,249
8998,Phú Xuân,2,249
9001,Phú Xuân,2,249
9004,Phú Xuân,2,249
9007,Phú Xuân,2,249
9010,Phú Xuân,2,249
9013,Phú Xuân,2,249
9016,Phú Xuân,2,249
9019,Phú Xuân,2,249
9022,Phú Xuân,2,249
9538,Lâm Thao,2,264
9541,Lâm Thao,2,264
9542,Lâm Thao,2,264
9544,Lâm Thao,2,264
9547,Lâm Thao,2,264
9550,Lâm Thao,2,264
9551,Lâm Thao,2,264
9552,Lâm Thao,2,264
9553,Lâm Thao,2,264
9556,Lâm Thao,2,264
9562,Lâm Thao,2,264
9565,Lâm Thao,2,264
9568,Lâm Thao,2,264
9571,Lâm Thao,2,264
9886,Lâm Thao,2,264
10117,Lâm Thao,2,264
10123,Lâm Thao,2,264
9574,Lâm Thao,2,264
